"file_name","V3","V5","V8","V12","V14","V16"
"16_10_Chevrolet$$Aveo$$2009$$Silver$$16_2$$49$$image_2.jpg",0.65848285,-0.953974,0,-0.58580565,0.35541546,0.8453788
"29_34_Ford$$Transit Connect$$2015$$Silver$$29_36$$9$$image_0.jpg",0.3569457,-0.33357215,0,0.070412345,-0.5500615,3.6043293
"Abarth$$595$$2014$$Grey$$2_4$$206$$image_11.jpg",-1.072789,-0.085540056,0,0.3615471,0.51564056,-0.3499915
"Abarth$$595$$2015$$White$$2_4$$202$$image_1.jpg",-0.925415,1.257549,0,-1.8098022,1.0022798,0.4908405
"Abarth$$595$$2015$$White$$2_4$$31$$image_6.jpg",0.49152,0.8530554,0,-1.4640071,0.9754221,1.2360864
"Abarth$$595$$2016$$White$$2_4$$234$$image_0.jpg",-0.95434594,0.6507365,0,-0.9867945,0.73573744,1.0361173
"Abarth$$595$$2017$$White$$2_4$$13$$image_3.jpg",1.1945761,1.9382069,0,-1.1102507,0.9159644,1.6326764
"Abarth$$595$$2019$$Grey$$2_4$$318$$image_16.jpg",-0.5271712,1.1297508,0,-1.5341507,0.69422406,1.8374045
"Abarth$$595$$2019$$White$$2_4$$328$$image_28.jpg",-0.3126504,0.19890682,0,-0.21720506,1.3864918,0.79982984
"Abarth$$595$$2019$$White$$2_4$$328$$image_48.jpg",-0.3126504,0.19890682,0,-0.21720506,1.3864918,0.79982984
"Abarth$$595$$2019$$White$$2_4$$328$$image_68.jpg",-0.3126504,0.19890682,0,-0.21720506,1.3864918,0.79982984
"Abarth$$595$$2019$$White$$2_4$$328$$image_8.jpg",-0.3126504,0.19890682,0,-0.21720506,1.3864918,0.79982984
"Abarth$$595$$2019$$White$$2_4$$328$$image_88.jpg",-0.3126504,0.19890682,0,-0.21720506,1.3864918,0.79982984
"Abarth$$595$$2019$$White$$2_4$$341$$image_2.jpg",0.016254392,0.09621808,0,-1.841312,0.9859109,2.2443187
"Alfa Romeo$$159$$2007$$Grey$$4_4$$48$$image_28.jpg",-0.3321666,-1.7775627,0,-1.3544341,-1.4289291,0.49267948
"Alfa Romeo$$159$$2008$$Black$$4_4$$12$$image_0.jpg",1.0063461,-0.13819624,0,1.8719845,-1.1159514,-0.20031367
"Alfa Romeo$$Giulia$$2017$$Silver$$4_10$$23$$image_0.jpg",0.25384247,1.3513397,0,-1.253495,-1.7094004,-0.9496659
"Alfa Romeo$$Giulia$$2017$$White$$4_10$$107$$image_0.jpg",-0.1107012,-0.11548847,0,-1.7464862,-1.9471773,-2.3529754
"Alfa Romeo$$Giulia$$2017$$White$$4_10$$85$$image_5.jpg",-0.40362516,1.3023508,0,-0.81188244,-2.1510448,-1.913184
"Alfa Romeo$$Giulia$$2018$$White$$4_10$$39$$image_0.jpg",0.17153092,1.0090126,0,-0.6353427,-2.0917783,-2.556094
"Alfa Romeo$$Giulia$$2018$$White$$4_10$$71$$image_2.jpg",0.59773856,1.2126174,0,0.17373389,-1.801971,-2.16926
"Alfa Romeo$$Giulia$$2018$$White$$4_10$$94$$image_6.jpg",-0.7803149,1.5546812,0,-1.2824359,-1.5425766,-1.3374538
"Alfa Romeo$$Giulia$$2019$$Silver$$4_10$$166$$image_13.jpg",0.4640919,1.6828436,0,0.3706979,-0.9345277,-0.040544048
"Alfa Romeo$$Giulia$$2019$$White$$4_10$$143$$image_7.jpg",-0.45858857,-0.91949844,0,-0.7568631,-1.2330154,-1.9587634
"Alfa Romeo$$Giulia$$2019$$White$$4_10$$149$$image_6.jpg",0.60192436,1.3373946,0,0.506395,-1.1780814,-0.2626764
