"file_name","V3","V7","V8","V9","V12","V14","V15","V18","V20"
"16_10_Chevrolet$$Aveo$$2009$$Silver$$16_2$$49$$image_2.jpg",1.1392092,-0.6070611,0.114768945,-0.35436404,-0.052611433,1.2146952,0.6847632,0.11803291,-0.08095755
"29_34_Ford$$Transit Connect$$2015$$Silver$$29_36$$9$$image_0.jpg",-0.61916673,-0.1301871,0.06473151,-3.089996,-0.18621129,2.3152792,0.97552043,1.4489024,0.4127376
"Abarth$$595$$2014$$Grey$$2_4$$206$$image_11.jpg",-1.7221471,0.43774998,0.06330395,0.28351095,-0.037394635,0.15509097,-0.40725684,0.48819253,-0.4168241
"Abarth$$595$$2015$$White$$2_4$$202$$image_1.jpg",-1.0227188,-1.9437487,0.011542821,-1.0320929,-0.14270554,-1.1632671,-0.3984824,0.8268096,-1.4400651
"Abarth$$595$$2015$$White$$2_4$$31$$image_6.jpg",0.67278457,-1.5502231,0.048792444,-1.4467928,-0.20096481,-0.4116158,0.7716885,1.167685,-0.8595203
"Abarth$$595$$2016$$White$$2_4$$234$$image_0.jpg",-0.73272866,-1.0713843,0.027720131,-1.4865644,-0.14145887,-0.344323,-0.19263959,0.94943035,-0.67188865
"Abarth$$595$$2017$$White$$2_4$$13$$image_3.jpg",0.030405715,-0.9964857,-0.0043785665,-2.8622568,-0.18107286,-1.8426411,1.3697447,1.5353609,-0.54438573
"Abarth$$595$$2019$$Grey$$2_4$$318$$image_16.jpg",0.43848792,-1.6069065,-0.010205952,-2.4054348,-0.21651495,-0.47653085,-0.30270243,0.071431585,-0.5078558
"Abarth$$595$$2019$$White$$2_4$$328$$image_28.jpg",-2.065356,-0.24860188,0.13884345,-0.99055964,-0.07719258,0.42715362,0.7168668,0.95566064,-1.9444364
"Abarth$$595$$2019$$White$$2_4$$328$$image_48.jpg",-2.065356,-0.24860188,0.13884345,-0.99055964,-0.07719258,0.42715362,0.7168668,0.95566064,-1.9444364
"Abarth$$595$$2019$$White$$2_4$$328$$image_68.jpg",-2.065356,-0.24860188,0.13884345,-0.99055964,-0.07719258,0.42715362,0.7168668,0.95566064,-1.9444364
"Abarth$$595$$2019$$White$$2_4$$328$$image_8.jpg",-2.065356,-0.24860188,0.13884345,-0.99055964,-0.07719258,0.42715362,0.7168668,0.95566064,-1.9444364
"Abarth$$595$$2019$$White$$2_4$$328$$image_88.jpg",-2.065356,-0.24860188,0.13884345,-0.99055964,-0.07719258,0.42715362,0.7168668,0.95566064,-1.9444364
"Abarth$$595$$2019$$White$$2_4$$341$$image_2.jpg",0.7116989,-2.2718182,-0.035869986,-2.254656,-0.18255022,0.81093067,-0.16533412,0.6063861,-0.85792094
"Alfa Romeo$$159$$2007$$Grey$$4_4$$48$$image_28.jpg",-0.28205928,-1.5410686,-0.023556853,0.13564754,-0.051675938,1.8188928,-0.073265865,0.5975039,1.6616222
"Alfa Romeo$$159$$2008$$Black$$4_4$$12$$image_0.jpg",1.5100898,1.8549775,0.1326133,0.57787806,-0.03392072,0.14158587,1.2029436,0.42954987,1.4171636
"Alfa Romeo$$Giulia$$2017$$Silver$$4_10$$23$$image_0.jpg",1.368144,-1.0655866,0.0037456062,0.8391705,-0.060161524,-1.6586155,-0.6534048,1.3823959,1.7843474
"Alfa Romeo$$Giulia$$2017$$White$$4_10$$107$$image_0.jpg",-0.21929334,-1.8380306,0.09190789,2.4744925,-0.065149374,-0.37881136,-0.7067295,0.9858778,1.7386074
"Alfa Romeo$$Giulia$$2017$$White$$4_10$$85$$image_5.jpg",0.2982805,-0.9917398,0.02919825,1.3309556,-0.01185823,-1.3528551,-1.4893016,0.78444415,1.9926442
"Alfa Romeo$$Giulia$$2018$$White$$4_10$$39$$image_0.jpg",-0.22075666,-0.7945987,0.094060786,2.2534127,-0.007835558,-1.4243402,-0.33133677,0.9313686,1.8686252
"Alfa Romeo$$Giulia$$2018$$White$$4_10$$71$$image_2.jpg",0.39944977,0.041799054,0.08658432,2.1122465,-0.011315262,-1.4233522,0.1447157,0.94259936,2.1385608
"Alfa Romeo$$Giulia$$2018$$White$$4_10$$94$$image_6.jpg",-0.21256886,-1.3750181,-0.024115289,0.583587,-0.045560963,-1.5129161,-1.2201238,0.95212007,1.5173417
"Alfa Romeo$$Giulia$$2019$$Silver$$4_10$$166$$image_13.jpg",-0.78501236,0.8517652,-7.528253e-05,-0.44393644,-0.08311883,-1.590783,0.503066,1.6654125,1.1154729
"Alfa Romeo$$Giulia$$2019$$White$$4_10$$143$$image_7.jpg",-1.1828415,-0.8264012,0.091418356,2.2845578,-0.05916316,0.2909325,0.02663359,1.0107718,1.3353007
"Alfa Romeo$$Giulia$$2019$$White$$4_10$$149$$image_6.jpg",-0.53962517,0.94220495,0.06658294,0.20740339,-0.055409394,-1.2088865,0.8590316,1.0326612,1.3296936
