"file_name","V1","V3","V4","V7","V10","V12","V15","V16","V17","V19","V20"
"16_10_Chevrolet$$Aveo$$2009$$Silver$$16_2$$49$$image_2.jpg",-0.039094407,-0.65954703,1.1440772,0.57506335,0.45322102,0,1.3204194,-0.6435997,0,0,0.04092183
"29_34_Ford$$Transit Connect$$2015$$Silver$$29_36$$9$$image_0.jpg",0,0.10184359,3.6795652,-0.054205816,0.38669932,0,2.058532,-1.1476556,0,-0.10992265,-0.43493196
"Abarth$$595$$2014$$Grey$$2_4$$206$$image_11.jpg",-0.022197548,0.099392764,-0.4367723,0.32672298,-1.369798,0,-1.4552312,-0.20185275,0,0,-0.14698741
"Abarth$$595$$2015$$White$$2_4$$202$$image_1.jpg",-0.03639369,-1.6594882,-0.031525828,-1.1164925,-1.1756722,0,-0.3826947,-0.8590724,0,0,-0.17918928
"Abarth$$595$$2015$$White$$2_4$$31$$image_6.jpg",-0.044550646,-1.4491179,1.1162978,-0.94732356,0.34021527,0,1.4005234,-0.8943357,0,0,-0.18735793
"Abarth$$595$$2016$$White$$2_4$$234$$image_0.jpg",-0.008131694,-0.79897827,0.89104307,-0.86960524,-1.2199374,0,-0.099844694,-0.4739444,0,0,-0.042704087
"Abarth$$595$$2017$$White$$2_4$$13$$image_3.jpg",-0.01332793,-0.5929727,1.109944,-2.2135556,0.7657513,0,0.95108247,-0.96544176,0,0,-0.3160872
"Abarth$$595$$2019$$Grey$$2_4$$318$$image_16.jpg",-0.01683833,-1.4705276,1.7072622,-1.2454998,-1.0265849,0,0.28901556,-0.99816376,0,0,0.06222276
"Abarth$$595$$2019$$White$$2_4$$328$$image_28.jpg",-0.011493936,-0.36773932,0.31537223,-0.34716058,-0.25440437,0,-1.1380857,-1.2089041,0,0,-0.17167595
"Abarth$$595$$2019$$White$$2_4$$328$$image_48.jpg",-0.011493936,-0.36773932,0.31537223,-0.34716058,-0.25440437,0,-1.1380857,-1.2089041,0,0,-0.17167595
"Abarth$$595$$2019$$White$$2_4$$328$$image_68.jpg",-0.011493955,-0.3677394,0.31537226,-0.34716046,-0.25440443,0,-1.138086,-1.2089041,0,0,-0.17167589
"Abarth$$595$$2019$$White$$2_4$$328$$image_8.jpg",-0.011493955,-0.3677394,0.31537226,-0.34716046,-0.25440443,0,-1.138086,-1.2089041,0,0,-0.17167589
"Abarth$$595$$2019$$White$$2_4$$328$$image_88.jpg",-0.011493936,-0.36773932,0.31537223,-0.34716058,-0.25440437,0,-1.1380857,-1.2089041,0,0,-0.17167595
"Abarth$$595$$2019$$White$$2_4$$341$$image_2.jpg",0.007000115,-1.5911546,2.3409624,-0.15098713,-0.6822804,0,1.5583647,-0.72276056,0,0,-0.086805135
"Alfa Romeo$$159$$2007$$Grey$$4_4$$48$$image_28.jpg",0.06264572,-1.0043656,0.97269535,1.6400455,-0.24532914,0,0.079992235,1.6617074,0,0,-0.009324912
"Alfa Romeo$$159$$2008$$Black$$4_4$$12$$image_0.jpg",-0.025847856,1.5818359,-0.10907832,0.1313225,1.4974484,0,1.0894508,1.654064,0,0,-0.09888159
"Alfa Romeo$$Giulia$$2017$$Silver$$4_10$$23$$image_0.jpg",0,-1.0679265,-1.0951898,-1.0461025,-0.9923009,0,2.4598496,2.146376,0,0.003475977,-0.04562502
"Alfa Romeo$$Giulia$$2017$$White$$4_10$$107$$image_0.jpg",0,-1.8994989,-1.8767346,0.73682207,-1.3208373,0,1.4168937,2.5706108,0,-0.028120553,-0.16860108
"Alfa Romeo$$Giulia$$2017$$White$$4_10$$85$$image_5.jpg",0,-0.7974324,-1.7258781,-0.45681843,-1.8167964,0,1.6796616,2.7274325,0,0.0474753,0.026430737
"Alfa Romeo$$Giulia$$2018$$White$$4_10$$39$$image_0.jpg",0,-0.89376575,-2.0651743,-0.16967815,-1.2785529,0,1.5800829,2.5939949,0,-0.05306892,-0.17387661
"Alfa Romeo$$Giulia$$2018$$White$$4_10$$71$$image_2.jpg",0,-0.1510025,-2.0113795,-0.47420192,-0.07484798,0,1.4009104,2.2897837,0,-0.06396429,-0.15144233
"Alfa Romeo$$Giulia$$2018$$White$$4_10$$94$$image_6.jpg",0,-1.3813642,-1.3206446,-0.96356696,-1.8357233,0,1.169331,1.866296,0,0.054611094,-0.09821384
"Alfa Romeo$$Giulia$$2019$$Silver$$4_10$$166$$image_13.jpg",0,0.32018596,-0.31941432,-1.5874672,0.18490303,0,0.44779417,0.8793704,0,-0.14251712,-0.29407114
"Alfa Romeo$$Giulia$$2019$$White$$4_10$$143$$image_7.jpg",0,-0.86350113,-1.4047107,1.5338378,-1.0345021,0,-0.09569461,1.8008877,0,-0.20841022,-0.3830319
"Alfa Romeo$$Giulia$$2019$$White$$4_10$$149$$image_6.jpg",0,0.51446545,-0.42545223,-1.1749127,0.62883186,0,0.30112174,1.1893059,0,-0.046157032,-0.11348079
"Alfa Romeo$$Giulia$$2019$$White$$4_10$$180$$image_5.jpg",0,-2.3426185,-0.89451575,1.1225276,-2.073303,0,0.46084532,1.8597163,0,-0.17829107,-0.28978044
"Alfa Romeo$$Giulietta$$2010$$White$$4_11$$226$$image_1.jpg",0,-0.25178802,-0.27601516,-0.80930567,0.6753115,0,0.29134572,1.5842067,0,-0.11133167,-0.22236384
"Alfa Romeo$$Giulietta$$2011$$Silver$$4_11$$124$$image_1.jpg",0,-1.7549036,-0.7441148,0.5928753,-0.78270775,0,-0.38700104,1.4667865,0,-0.25803384,-0.46311975
