"file_name","V1","V2","V4","V5","V7","V8","V9","V10","V11","V12","V16","V17","V19"
"16_10_Chevrolet$$Aveo$$2009$$Silver$$16_2$$49$$image_2.jpg",1.2099869,-0.062459797,0.0073577613,-0.96905303,1.073927,-0.36402264,-0.84658563,0,-0.46308392,-0.09118451,0,-0.116023205,0
"29_34_Ford$$Transit Connect$$2015$$Silver$$29_36$$9$$image_0.jpg",2.7106268,-0.08147993,-0.045566004,0.9639594,0.4765663,-0.14136434,-1.9488631,0,-0.8208434,1.3250403,0,-2.4493284,0
"Abarth$$595$$2014$$Grey$$2_4$$206$$image_11.jpg",-0.44731534,-0.1389389,-0.038948182,1.385444,-0.7261229,-0.19021735,0.31612763,0,-0.28701568,-0.7277251,0,-0.39967245,0
"Abarth$$595$$2015$$White$$2_4$$202$$image_1.jpg",0.3005588,0.008984348,-0.029160514,1.3354746,-0.5387931,-0.096093796,-0.021349555,0,-0.99286795,1.8508053,0,0.934225,0
"Abarth$$595$$2015$$White$$2_4$$31$$image_6.jpg",1.006988,0.058959775,0.006804932,0.4831594,0.88823867,0.7657472,-1.0459422,0,-0.8188964,1.7726367,0,0.0659903,0
"Abarth$$595$$2016$$White$$2_4$$234$$image_0.jpg",0.64876634,-0.059579164,-0.057398308,0.7410909,-0.55898166,-0.3368246,-0.017325027,0,-0.29857695,1.5946323,0,-0.11917164,0
"Abarth$$595$$2017$$White$$2_4$$13$$image_3.jpg",0.2535662,-0.013584929,0.009292398,1.20153,1.0674163,0.092926376,-1.1362671,0,-1.1287625,3.089803,0,-0.6402917,0
"Abarth$$595$$2019$$Grey$$2_4$$318$$image_16.jpg",1.1705089,-0.056400836,-0.012245122,-0.3122774,-0.33960262,0.0012194891,-0.95019513,0,-0.51736677,2.283186,0,-0.21744534,0
"Abarth$$595$$2019$$White$$2_4$$328$$image_28.jpg",0.34862652,-0.16500072,-0.02061363,1.8411227,0.093272775,-0.63700473,1.2529773,0,-1.7738068,0.6863662,0,-0.6454262,0
"Abarth$$595$$2019$$White$$2_4$$328$$image_48.jpg",0.34862652,-0.16500072,-0.02061363,1.8411227,0.093272775,-0.63700473,1.2529773,0,-1.7738068,0.6863662,0,-0.6454262,0
"Abarth$$595$$2019$$White$$2_4$$328$$image_68.jpg",0.34862652,-0.16500072,-0.02061363,1.8411227,0.093272775,-0.63700473,1.2529773,0,-1.7738068,0.6863662,0,-0.6454262,0
"Abarth$$595$$2019$$White$$2_4$$328$$image_8.jpg",0.34862652,-0.16500072,-0.02061363,1.8411227,0.093272775,-0.63700473,1.2529773,0,-1.7738068,0.6863662,0,-0.6454262,0
"Abarth$$595$$2019$$White$$2_4$$328$$image_88.jpg",0.34862652,-0.16500072,-0.02061363,1.8411227,0.093272775,-0.63700473,1.2529773,0,-1.7738068,0.6863662,0,-0.6454262,0
"Abarth$$595$$2019$$White$$2_4$$341$$image_2.jpg",2.8214483,-0.092513435,0.032413084,-0.12004944,0.014716972,0.038954906,-1.1424758,0,-1.0241175,1.9463708,0,0.11403828,0
"Alfa Romeo$$159$$2007$$Grey$$4_4$$48$$image_28.jpg",1.5975194,-0.09756305,0.01726538,0.65905285,-0.09807189,-0.08985048,-0.46196485,0,1.7670503,-0.8580391,0,0.549783,0
"Alfa Romeo$$159$$2008$$Black$$4_4$$12$$image_0.jpg",-0.98231286,-0.026219191,0.0017196201,-0.12077872,1.558868,0.018904649,-1.0585225,0,1.6364105,-0.9359768,0,-1.2623488,0
"Alfa Romeo$$Giulia$$2017$$Silver$$4_10$$23$$image_0.jpg",-0.8968753,-0.08659214,-0.04870702,0.67906666,0.27648228,0.16581883,-2.1453955,0,1.8680236,0.6146124,0,1.28609,0
"Alfa Romeo$$Giulia$$2017$$White$$4_10$$107$$image_0.jpg",-0.42053974,-0.08290487,-0.05502506,0.8059778,-0.46318594,-0.01397831,-1.0068479,0,1.9630648,-1.2147019,0.09535672,2.071906,0
"Alfa Romeo$$Giulia$$2017$$White$$4_10$$85$$image_5.jpg",-1.1604269,-0.08192042,-0.07967298,0.43579593,-0.96397954,0.1682945,-1.7102128,0,2.1517448,0.0018622726,0.13939711,1.3675436,0
"Alfa Romeo$$Giulia$$2018$$White$$4_10$$39$$image_0.jpg",-1.3340361,-0.038804226,-0.085110545,0.92059344,-0.35838193,0.1439105,-1.1747347,0,1.986769,-0.77377564,0.115500115,1.4306467,0
"Alfa Romeo$$Giulia$$2018$$White$$4_10$$71$$image_2.jpg",-1.8230774,-0.054547936,-0.16831245,0.3576631,0.35162598,-0.083202936,-1.0920259,0,2.3137162,-1.0354173,0.14281766,0.97058845,0
"Alfa Romeo$$Giulia$$2018$$White$$4_10$$94$$image_6.jpg",-0.9902671,-0.015992021,-0.044339877,0.7881504,-0.7772409,0.0963038,-1.0800315,0,1.8906211,0.71597075,0.12088322,1.3650216,0
"Alfa Romeo$$Giulia$$2019$$Silver$$4_10$$166$$image_13.jpg",-1.4765863,-0.119869344,-0.019213047,1.1238253,1.0599208,-0.84519833,-0.6551132,0,0.9683717,0.7600596,0,-0.5789436,0
"Alfa Romeo$$Giulia$$2019$$White$$4_10$$143$$image_7.jpg",-0.1320637,-0.097746834,-0.052581515,1.2339191,0.005588565,-0.12310051,-0.09345882,0,1.3781376,-1.7862746,0.07433761,1.0951735,0
"Alfa Romeo$$Giulia$$2019$$White$$4_10$$149$$image_6.jpg",-1.278898,-0.056721255,-0.031931076,0.90507174,1.1790088,-0.37113404,-0.46392694,0,1.1408149,0.2917143,0.08425029,-0.40698633,0
"Alfa Romeo$$Giulia$$2019$$White$$4_10$$180$$image_5.jpg",0.91256434,-0.07534452,-0.045028728,1.7722679,-0.40352196,-0.10226605,-0.80080736,0,1.417553,-0.53983146,0,2.0530326,0
"Alfa Romeo$$Giulietta$$2010$$White$$4_11$$226$$image_1.jpg",-0.90769273,-0.07761652,-0.07874419,1.2412982,0.94630367,-0.25406435,-0.9714765,0,1.7572174,0.46214795,0.036038175,-0.01428256,0
"Alfa Romeo$$Giulietta$$2011$$Silver$$4_11$$124$$image_1.jpg",0.27850825,-0.098744065,-0.003970001,1.8603477,0.2611463,-0.122665755,-0.67387575,0,0.9222565,-0.33620846,0.054073438,1.4363221,0
