"file_name","V3","V5","V7","V8","V9","V12","V14","V18"
"16_10_Chevrolet$$Aveo$$2009$$Silver$$16_2$$49$$image_2.jpg",0.782934,-0.57653636,0.9935888,1.061318,0.0841273,-0.4989516,0.43100896,0.017209783
"29_34_Ford$$Transit Connect$$2015$$Silver$$29_36$$9$$image_0.jpg",-0.3785583,0.7469331,-0.33653563,4.079717,0.06874601,-0.2912709,0.30351004,3.297201
"Abarth$$595$$2014$$Grey$$2_4$$206$$image_11.jpg",-1.6349896,-0.32128465,-1.0212785,-0.18204439,0.105625376,0.65393215,0.3994995,0.7923092
"Abarth$$595$$2015$$White$$2_4$$202$$image_1.jpg",-1.085265,1.4327713,-0.6805519,0.013220012,0.08914618,-1.6622255,1.0291795,1.2613454
"Abarth$$595$$2015$$White$$2_4$$31$$image_6.jpg",0.91262007,1.2029891,-0.16785917,0.9625309,0.11522629,-1.379119,0.9250537,1.910933
"Abarth$$595$$2016$$White$$2_4$$234$$image_0.jpg",-1.197372,0.9531812,-0.44707364,0.81704664,0.12244262,-0.98403496,0.5747524,0.84963137
"Abarth$$595$$2017$$White$$2_4$$13$$image_3.jpg",1.1241236,2.6245186,-0.58091784,1.2412984,0.117131315,-1.1760285,1.4667994,2.2182465
"Abarth$$595$$2019$$Grey$$2_4$$318$$image_16.jpg",-0.50719744,1.4928291,0.5754769,1.6370366,0.111472316,-1.3445816,0.6355961,0.87384415
"Abarth$$595$$2019$$White$$2_4$$328$$image_28.jpg",-0.63957316,0.4728216,-1.9023162,1.0093123,0.13287604,0.010903148,2.2350042,0.7817529
"Abarth$$595$$2019$$White$$2_4$$328$$image_48.jpg",-0.63957316,0.4728216,-1.9023162,1.0093123,0.13287604,0.010903148,2.2350042,0.7817529
"Abarth$$595$$2019$$White$$2_4$$328$$image_68.jpg",-0.63957316,0.4728216,-1.9023162,1.0093123,0.13287604,0.010903148,2.2350042,0.7817529
"Abarth$$595$$2019$$White$$2_4$$328$$image_8.jpg",-0.63957316,0.4728216,-1.9023162,1.0093123,0.13287604,0.010903148,2.2350042,0.7817529
"Abarth$$595$$2019$$White$$2_4$$328$$image_88.jpg",-0.63957316,0.4728216,-1.9023162,1.0093123,0.13287604,0.010903148,2.2350042,0.7817529
"Abarth$$595$$2019$$White$$2_4$$341$$image_2.jpg",-0.16406149,0.6717462,0.8216909,2.2888904,0.121838085,-2.0805342,1.2223217,1.5645738
"Alfa Romeo$$159$$2007$$Grey$$4_4$$48$$image_28.jpg",-0.6435613,-1.4429951,-0.28916407,0.79056907,0.03860814,-0.93805134,-1.9979719,0.7796417
"Alfa Romeo$$159$$2008$$Black$$4_4$$12$$image_0.jpg",1.7953446,0.06557767,0.6471685,-0.00805933,0.061306767,1.7436076,-1.2025466,0.22382122
"Alfa Romeo$$Giulia$$2017$$Silver$$4_10$$23$$image_0.jpg",0.05883873,1.1987349,2.0934582,-1.6603795,0.0030801892,-0.92151994,-1.9879062,1.8457112
"Alfa Romeo$$Giulia$$2017$$White$$4_10$$107$$image_0.jpg",-0.5779498,-0.9400116,1.5331601,-2.5239873,-0.044869967,-1.3443278,-2.5941675,1.5722926
"Alfa Romeo$$Giulia$$2017$$White$$4_10$$85$$image_5.jpg",-1.0964267,0.62241155,1.9561037,-2.396951,-0.04233274,-0.6308703,-2.6372626,1.3231952
"Alfa Romeo$$Giulia$$2018$$White$$4_10$$39$$image_0.jpg",-0.42847818,-0.009868816,1.3290442,-2.985559,-0.029579066,-0.529731,-2.6705315,1.3470199
"Alfa Romeo$$Giulia$$2018$$White$$4_10$$71$$image_2.jpg",0.3050819,0.4155907,0.6902876,-2.5184004,-0.0026937649,0.1978935,-2.209525,1.1218781
"Alfa Romeo$$Giulia$$2018$$White$$4_10$$94$$image_6.jpg",-1.0942798,1.2120187,1.37262,-1.7718736,0.017504089,-1.2820076,-1.7859592,1.3217278
"Alfa Romeo$$Giulia$$2019$$Silver$$4_10$$166$$image_13.jpg",0.35512117,1.6848986,-0.17078488,-0.3924457,0.103053816,0.45948714,-1.1332848,1.7964125
"Alfa Romeo$$Giulia$$2019$$White$$4_10$$143$$image_7.jpg",-0.8275406,-1.6670088,-0.70584047,-1.7384068,0.04358147,-0.4184508,-1.5850152,1.0664492
"Alfa Romeo$$Giulia$$2019$$White$$4_10$$149$$image_6.jpg",0.5817539,1.2212801,-0.1771785,-0.50460374,0.085969314,0.6576012,-1.3462865,1.2801979
"Alfa Romeo$$Giulia$$2019$$White$$4_10$$180$$image_5.jpg",-1.3196607,-1.3344826,1.0100201,-1.2661438,0.013501719,-2.2803824,-1.7168074,1.6562989
"Alfa Romeo$$Giulietta$$2010$$White$$4_11$$226$$image_1.jpg",0.48855147,0.92304945,-0.29045728,-0.56831473,0.047369167,-0.2030998,-1.5724573,1.5667262
"Alfa Romeo$$Giulietta$$2011$$Silver$$4_11$$124$$image_1.jpg",-0.36356348,-0.7865187,-0.41767046,-1.067197,0.034335874,-1.511692,-1.2010525,2.1212332
"Alfa Romeo$$Giulietta$$2013$$White$$4_11$$138$$image_1.jpg",-0.111965865,-1.9403076,-0.8198346,-0.97384006,-0.009724334,-0.6614923,-1.1848319,0.86521393
"Alfa Romeo$$Giulietta$$2015$$Silver$$4_11$$64$$image_0.jpg",-1.2131666,-0.64839166,-1.8887646,-0.7456987,0.02642566,0.046825126,-0.14114554,0.4145458
"Alfa Romeo$$Giulietta$$2015$$White$$4_11$$304$$image_9.jpg",0.4551228,0.9997463,-1.0476742,-0.58910865,0.054233596,-0.44259492,-1.3537965,1.651809
"Alfa Romeo$$Giulietta$$2015$$White$$4_11$$34$$image_12.jpg",0.4153578,1.4227899,-0.46951684,-0.30067948,0.0388795,-0.25023103,-1.5084293,1.7089324
"Alfa Romeo$$Giulietta$$2015$$White$$4_11$$34$$image_22.jpg",0.59400827,1.371141,-0.41366944,-0.55725074,0.061050653,-0.43802255,-1.243355,1.7035213
"Alfa Romeo$$Giulietta$$2016$$White$$4_11$$125$$image_6.jpg",-0.5397015,0.4713686,-0.6181603,-1.5963196,0.08043071,-1.8980628,-0.4484237,2.1430824
"Alfa Romeo$$Giulietta$$2017$$White$$4_11$$303$$image_2.jpg",0.84595346,1.0973172,0.12075077,-0.18741035,0.06965337,-0.8071153,-1.5879786,2.4016716
"Alfa Romeo$$MiTo$$2009$$Silver$$4_14$$265$$image_1.jpg",0.7534371,-1.6954508,-0.82118785,0.378341,0.059980474,-0.56256205,-0.67910516,1.0811067
"Alfa Romeo$$MiTo$$2012$$White$$4_14$$288$$image_7.jpg",1.5464472,0.23057224,0.34558716,-0.8280357,0.054871388,1.0301747,-1.8182456,1.0788729
"Alfa Romeo$$MiTo$$2015$$White$$4_14$$106$$image_1.jpg",1.6479882,0.21949893,0.2121764,0.36386606,0.027273037,-0.22783746,-1.1844134,1.6207485
"Alfa Romeo$$MiTo$$2017$$White$$4_14$$334$$image_12.jpg",0.7783821,0.80054224,0.5715143,0.87094986,0.067060634,-0.9805041,-0.3816042,2.2539308
"Alfa Romeo$$MiTo$$2017$$White$$4_14$$71$$image_0.jpg",-0.33342335,-0.40533233,-0.047461938,0.8211522,0.09454095,-0.91878134,-0.27374834,1.0122981
"Audi$$A1$$2010$$White$$7_1$$130$$image_2.jpg",0.06440547,0.22445472,-0.49167153,0.9100465,0.14589477,-1.5389298,-0.91337585,0.22802514
"Audi$$A1$$2011$$White$$7_1$$332$$image_0.jpg",1.0775524,-0.37211037,-0.0013365522,-1.0158905,0,-1.1173731,-0.40706524,-0.30661997
"Audi$$A1$$2012$$White$$7_1$$649$$image_0.jpg",1.8892301,1.7415249,-1.0233933,-1.935913,0,0.05758789,-0.52563524,-0.045172736
"Audi$$A1$$2013$$Silver$$7_1$$10$$image_5.jpg",1.8226649,1.1491568,-0.4970605,-1.5515903,0.06740489,0.4119988,-0.60698783,-0.23468965
