"market_ids","car_ids","make","model","clustering_ids","firm_ids","shares","quantity","trend","prices","mpg","hp","wt","len","wid","ht","wb","Doors","Seats","hpwt","space","ULSP","ULSD","CPI","mpd","region","Segment","low_share","count","Image_name","gen_ids","bodyshape","grille_height","boxiness","grille_width","old_segment_desc","segment_name","ln_hpwt","ln_space","ln_mpg","ln_mpd","ln_price","cons","s_0","inside_shares","outside_shares","s_i","dif","dif_2"
2008,"17_1_2008","Chrysler","300C","17_1","AggFirm",0.0001378837462988,1106,2078,41.5663124754034,2.91666666666667,285,442.210028333333,5015,1880,1468.5,3050,4.5,5,0.644490133057702,1.46137550103211,1.26329579511398,1.38792344019617,0.847,0.483995942214491,"United States",5,1,7,"Chrysler$$300C$$2006$$Black$$17_1$$58$$image_11.jpg","17_1_93",0.43914905,-0.79842407,1.4101392,0.21168861,"E-segment (mid-size luxury sedan)","E",-0.439295766172837,0.379378116194576,1.07044141170141,-0.725678756155008,3.72729004294076,1,-0.193868774147155,0.176234003428386,0.823765996571614,-8.88909964596526,-8.6952308718181,-8.6952308718181
2008,"17_8_2008","Chrysler","Sebring","17_8","AggFirm",5.44802867383513e-05,437,2078,24.6410861865407,3.58,156.4,372.360318,4882,1843,1497,2765,3.2,4.6,0.420023274338272,1.39462082542791,1.26329579511398,1.38792344019617,0.847,0.594070447929558,"United States",4,1,2,"Chrysler$$Sebring$$2008$$Silver$$17_8$$10$$image_0.jpg","17_8_96",-2.1759183,1.2679098,1.669621,-0.86551046,"D-segment (mid-size)","D",-0.867445154148959,0.332622568597273,1.27536280041261,-0.520757367443812,3.2044152199397,1,-0.193868774147155,0.176234003428386,0.823765996571614,-9.81767163295127,-9.62380285880412,-9.62380285880412
2008,"17_9_2008","Chrysler","Voyager","17_9","AggFirm",0.0001816425120772,1457,2078,24.8273317591499,3.025,145.25,445.0576625,4808,1997,1749,2878,5,7,0.326362204807562,1.48824886380198,1.26329579511398,1.38792344019617,0.847,0.501972934353886,"United States",8,1,5,"Chrysler$$Voyager$$2008$$Grey$$17_9$$27$$image_1.jpg","17_9_97",-0.28097114,-0.010866262,1.2822055,-0.15052179,"M-segment (MPV)","M",-1.11974745669132,0.3976001696054,1.1069110914828,-0.689209076373617,3.21194513338131,1,-0.193868774147155,0.176234003428386,0.823765996571614,-8.61347002185218,-8.41960124770502,-8.41960124770502
2008,"24_3_2008","Daihatsu","Copen","24_3","AggFirm",3.29125759700795e-05,264,2078,14.318772136954,4.7,86,187.3927,3440,1475,1245,2225,2,2,0.458929296605471,0.786472422332674,1.26329579511398,1.38792344019617,0.847,0.779924889739923,"Japan",1,1,3,"Daihatsu$$Copen$$2003$$Silver$$24_3$$4$$image_0.jpg","24_3_125",0.054000404,0.85112953,2.063191,0.7844333,"A-Segment (Minicars)","A",-0.778859118683225,-0.240197620884092,1.54756250871601,-0.248557659140407,2.6615714132301,1,-0.193868774147155,0.176234003428386,0.823765996571614,-10.3216557249005,-10.1277869507534,-10.1277869507534
2008,"24_6_2008","Daihatsu","Materia","24_6","AggFirm",3.56552906342528e-05,286,2078,13.5360094451004,3.8,102,229.831635,3800,1690,1635,2540,5,5,0.443803134411849,0.995413065869222,1.26329579511398,1.38792344019617,0.847,0.630577570428023,"Japan",8,1,3,"Daihatsu$$Materia$$2008$$Silver$$24_6$$6$$image_7.jpg","24_6_126",-2.9495974,0.471362,0.7294896,0.42639905,"M-segment (MPV)","M",-0.812374205841056,-0.00459748639385988,1.33500106673234,-0.46111910112408,2.60535350063995,1,-0.193868774147155,0.176234003428386,0.823765996571614,-10.241613017227,-10.0477442430799,-10.0477442430799
2008,"24_7_2008","Daihatsu","Sirion","24_7","AggFirm",0.0002873616954963,2305,2078,11.7685107100692,4.84285714285714,87.1428571428571,206.604388571429,3612.14285714286,1665,1550,2430,5,5,0.421786089566677,0.932206639050762,1.26329579511398,1.38792344019617,0.847,0.803630813440224,"Japan",2,1,3,"Daihatsu$$Sirion$$2008$$Silver$$24_7$$28$$image_0.jpg","24_7_136",-2.1957004,1.786349,1.1912217,-0.679909,"B-segment (subcompact)","B",-0.863256990223149,-0.070200773152142,1.57750486533109,-0.21861530252533,2.46542738056185,1,-0.193868774147155,0.176234003428386,0.823765996571614,-8.15476887261624,-7.96090009846909,-7.96090009846909
2008,"24_8_2008","Daihatsu","Terios","24_8","AggFirm",0.0001150693470469,923,2078,16.6951003541913,3.425,103,259.594005,4060,1964.5,1690,2580,5,5,0.396773415472364,1.23626365768831,1.26329579511398,1.38792344019617,0.847,0.568349520714731,"Japan",7,1,3,"Daihatsu$$Terios$$2008$$Silver$$24_8$$6$$image_0.jpg","24_8_137",-0.007349286,-1.9217875,-0.88386333,-1.1006362,"J-segment (SUV)","J",-0.924389903113308,0.212093651568833,1.23110147171419,-0.565018696142232,2.81511528441027,1,-0.193868774147155,0.176234003428386,0.823765996571614,-9.06997559354407,-8.87610681939691,-8.87610681939691
2008,"26_1_2008","Dodge","Avenger","26_1","AggFirm",4.40081034751441e-05,353,2078,19.9482880755608,3.86,150.2,351.195966,4850,1843,1497,2765,4,5,0.427681450076793,1.38547951727271,1.26329579511398,1.38792344019617,0.847,0.640534058382149,"United States",4,1,2,"Dodge$$Avenger$$2008$$Silver$$26_1$$5$$image_2.jpg","26_1_138",-1.1396935,-0.47604364,1.7142315,0.3473812,"D-segment (mid-size)","D",-0.849376636032384,0.326046301575897,1.35066718347674,-0.445452984379682,2.99314332890509,1,-0.193868774147155,0.176234003428386,0.823765996571614,-10.0311367711136,-9.83726799696641,-9.83726799696641
2008,"26_2_2008","Dodge","Caliber","26_2","AggFirm",9.86130590618669e-05,791,2078,17.6527449822904,4.025,145.75,332.346465,4415,1800,1535,2635,5,5,0.438548368492501,1.23178879390575,1.26329579511398,1.38792344019617,0.847,0.667914400255998,"United States",3,1,2,"Dodge$$Caliber$$2007$$Silver$$26_2$$23$$image_1.jpg","26_2_127",0.46735042,1.6136353,-0.60633457,0.060311195,"C-segment (compact)","C",-0.824285168823109,0.208467416896863,1.39252491087053,-0.403595256985893,2.87089129436279,1,-0.193868774147155,0.176234003428386,0.823765996571614,-9.22430686027921,-9.03043808613205,-9.03043808613205
2008,"26_5_2008","Dodge","Journey","26_5","AggFirm",1.08461898083216e-05,87,2078,24.4807556080283,4.08,144,431.7086884,4888,1878,1723.4,2890,5,7,0.333558262479482,1.42285230238077,1.26329579511398,1.38792344019617,0.847,0.677041180880614,"United States",7,1,3,"Dodge$$Journey$$2009$$Red$$26_5$$3$$image_0.jpg","26_5_128",-1.926296,-0.09208502,0.32547212,0.61022085,"J-segment (SUV)","J",-1.09793772879634,0.352663520594181,1.40609698841607,-0.39002317944035,3.1978873235088,1,-0.193868774147155,0.176234003428386,0.823765996571614,-11.4316967093923,-11.2378279352451,-11.2378279352451
